Alba;12848641;SCOALA GIMNAZIALA LIVEZILE;Comuna Livezile;Alba, Comuna Livezile, STRADA LIVEZILE, Numar 186, Bloc/Scara , Sector , Cod postal 517390;4562117;COMUNA LIVEZILE;13729380;MINISTERUL EDUCATIEI  SI CERCETARII STIINTIFICE
Alba;12848676;SCOALA GIMNAZIALA DEMETRIU RADU  RADESTI;Comuna Radesti;Alba, Comuna Radesti,  RADESTI, Numar 22, Bloc/Scara , Sector , Cod postal 517585;4562281;COMUNA RADESTI;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;12848706;SCOALA GIMNAZIALA SCARISOARA;Comuna Scarisoara;Alba, Comuna Scarisoara, STRADA SCARISOARA, Numar 194, Bloc/Scara , Sector , Cod postal 517680;4562451;COMUNA SCARISOARA;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;12848722;SCOALA GIMNAZIALA EMIL RACOVITA GIRDA DE SUS;Comuna Garda de Sus;Alba, Comuna Garda de Sus, STRADA GIRDA DE SUS, Numar 50A, Bloc/Scara , Sector , Cod postal 517310;13729380;MINISTERUL EDUCATIEI NATIONALE;4562494;COMUNA GIRDA DE SUS
Alba;12857500;SCOALA GIMNAZIALA VADU MOTILOR;Comuna Vadu Motilor;Alba, Comuna Vadu Motilor, STRADA VADU MOTILOR, Numar 2, Bloc/Scara , Sector , Cod postal 517795;4562192;COMUNA VADU MOTILOR;13729380;MINISTERUL EDUCATIEI SI CERCETARII STIINTIFICE
Alba;12857518;SCOALA GIMNAZIALA CIUGUD;Comuna Ciugud;Alba, Comuna Ciugud, STRADA CIUGUD, Numar 127, Bloc/Scara , Sector , Cod postal 517240;13729380;MINISTERUL EDUCATIEI NATIONALE;4562516;COMUNA CIUGUD
Alba;12857526;SCOALA GIMNAZIALA ARON COTRUS  CERGAU MARE;Comuna Cergau;Alba, Comuna Cergau, Sat CERGAU, Numar 166, Bloc/Scara , Sector , Cod postal 517216;4562010;COMUNA CERGAU;13729380;M.E.N.T.S
Alba;12857534;SCOALA GIMNAZIALA ROSIA DE SECAS;Comuna Rosia de Secas;Alba, Comuna Rosia de Secas, Sat ROSIA DE SECAS, Numar 282, Bloc/Scara , Sector , Cod postal 517640;4562060;COMUNA ROSIA DE SECAS;13729380;M.E.N.T.S.
Alba;12857569;SCOALA GIMNAZIALA AVRAM IANCU;Comuna Avram Iancu;Alba, Comuna Avram Iancu, STRADA AVRAM IANCU, Numar 27E, Bloc/Scara , Sector , Cod postal 517065;4905550;PRIMARIA AVRAM IANCU;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;12857577;SCOALA GIMNAZIALA CIURULEASA;Comuna Ciuruleasa;Alba, Comuna Ciuruleasa, STRADA CIURULEASA, Numar 1A, Bloc/Scara , Sector , Cod postal 517250;4562311;COMUNA CIURULEASA;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;12857585;SCOALA GIMNAZIALA HOREA;Comuna Horea;Alba, Comuna Horea, STRADA HOREA, Numar 22, Bloc/Scara , Sector , Cod postal 517340;13729380;MINISTERUL EDUCATIEI NATIONALE;4562249;COMUNA HOREA
Alba;12857593;SCOALA GIMNAZIALA MOGOS;Comuna Mogos;Alba, Comuna Mogos, STRADA MOGOS, Numar 38B, Bloc/Scara , Sector , Cod postal 517480;4562460;COMUNA MOGOS;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;12864493;SCOALA GIMNAZIALA BERGHIN;Comuna Berghin;Alba, Comuna Berghin, STRADA BERGHIN, Numar 34, Bloc/Scara , Sector , Cod postal 517110;4562257;COMUNA BERGHIN;13729380;MINISTERUL EDUC. NATIONALE
Alba;12864507;SCOALA GIMNAZIALA SIMION BALINT ROSIA MONTANA;Comuna Rosia Montana;Alba, Comuna Rosia Montana, STRADA Rosia Montana, Numar 188, Bloc/Scara , Sector , Cod postal 517615;4562290;comuna Rosia Montana;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;12864566;SCOALA GIMNAZIALA PIANU DE SUS;Comuna Pianu;Alba, Comuna Pianu, STRADA Pianu de Sus, Numar 172, Bloc/Scara , Sector , Cod postal 517537;4561952;Comuna Pianu;13729380;Ministerul Educatiei Nationale
Alba;12864574;SCOALA GIMNAZIALA METES;Comuna Metes;Alba, Comuna Metes, STRADA METES, Numar 51, Bloc/Scara , Sector , Cod postal 517445;4562150;COMUNA METES;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;12864582;SCOALA GIMNAZIALA SIMION LAZAR LUNCA MURESULUI;Comuna Lunca Muresului;Alba, Comuna Lunca Muresului, STRADA Lunca Muresului, Numar 241 A, Bloc/Scara , Sector , Cod postal 517405;4562435;COMUNA LUNCA MURESULUI;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;12864590;SCOALA GIMNAZIALA ION AGARBICEANU BUCIUM;Comuna Bucium;Alba, Comuna Bucium, Sat BUCIUM, Numar 34, Bloc/Scara , Sector , Cod postal 517165;4561979;COMUNA BUCIUM;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;12864604;SCOALA GIMNAZIALA FARAU;Comuna Farau;Alba, Comuna Farau, STRADA FARAU, Numar 274, Bloc/Scara , Sector , Cod postal 517280;4562486;COMUNA  FARAU;13729380;MINISTERUL EDUCATIEI  NATIONALE
